list_place,A,B,C,mu_a-ea0,mu_b-ea0,mu_cea0,e,e_tot,zpe,harm_freq,formula,iupac_name,canonical_smi,internal_smi,weight,charge,name,multiplicity,distance,log_column,log_column_unc,mu_a,mu_b,mu_c
721,6969.92311,1920.20277,1630.01937,-0.0307598,-1.96E-05,-0.0147087,-271.408512080719,,,[],C7H8,"5-ethenylcyclopenta-1,3-diene",C=CC1C=CC=C1,C=CC1C=CC=C1,92.14,0,geom722,1,0.045800332,12.17178998771050,1.0661087235922300,-0.07818361251115360,-4.981823045724E-05,-0.03738578603706150
567,34481.92898,2313.70879,2201.14658,-4.73E-05,0.0184213,0.08316,-193.990762551412,,,[],C5H6,,C=CC=C=C,C=C=CC=C,66.1,0,geom568,1,0.08553308,12.211233322267800,1.066219120824420,-0.00012022460717487000,0.046822273914385500,0.211371634940004
1701,7233.91468,3502.312,2431.06806,0.00756,2.77E-05,-0.1296056,-233.338654636116,,,[],C6H8,4-methylidenecyclopentene,C=C1CC=CC1,C=C1CC=CC1,80.13,0,geom1703,1,0.050328575,12.127952200222500,1.0731223310465400,0.019215603176364000,7.040637671763E-05,-0.3294245739463710
1114,4526.13425,1564.16923,1170.94723,0.0257502,-0.2929302,1.7704766,-326.77541677269,,,[],C7H9N,"1-cyclopenta-2,4-dien-1-ylideneethanamine",CC(=C1C=CC=C1)N,CC(N)=C1C=CC=C1,107.15,0,geom1115,1,0.040072463,11.910152812280700,1.0738337891638300,0.06545047948571540,-0.7445542965043570,4.500102616221980
48,7876.1044,2002.51427,1710.66638,0.0195547,-0.2130668,-0.1123959,-234.544011784692,,,[],C6H10,"2-methylpenta-1,4-diene",CC(=C)CC=C,C=CCC(=C)C,82.14,0,geom49,1,0.057896838,11.940585521062800,1.0739156812268800,0.04970308934296890,-0.5415617829176870,-0.28568188003310700
285,5584.73805,4270.51059,2419.99815,3.17E-05,0.2747341,6.34E-05,-232.067288216815,,,[],C6H6,"3,4-dimethylidenecyclobutene",C=C1C=CC1=C,C=C1C=CC1=C,78.11,0,geom286,1,0.050986942,12.099713554673700,1.0739827259893,8.057336252523E-05,0.6983044238909400,0.00016114672505046
473,17776.7987,954.4608,935.57894,0.058097,-0.4301432,1.5761786,-608.247426310154,,,[],C4H5NS,3-isothiocyanatoprop-1-ene,C=CCN=C=S,C=CCN=C=S,99.16,0,geom474,1,0.085315876,11.85489752438090,1.0743172117178200,0.1476678436160340,-1.093314952408910,4.00624636411071
1399,20480.72528,2225.08004,2190.5291,0.2784618,0.2854831,0.083153,-212.494271459112,,,[],C4H9N,N-methylprop-2-en-1-amine,CNCC=C,C=CCNC,71.12,0,geom1400,1,0.0711076,11.975268164788000,1.0812836568771700,0.7077792921396870,0.7256256565024130,0.2113538427148410
903,10029.49208,1406.52398,1243.32085,8.49E-05,-0.0871139,-0.3195464,-271.375598728341,,,[],C7H8,3-prop-2-enylidenecyclobutene,C=CC=C1CC=C1,C=CC=C1C=CC1,92.14,0,geom904,1,0.056005687,12.03706668753480,1.0824774725547800,0.00021579427376631,-0.22142144623617100,-0.8122059284174180
826,40061.83918,2376.64377,2243.54676,-4.13E-05,0.2106163,0.384463,-229.922523126994,,,[],C4H4O,,C=CC=C=O,C=CC=C=O,68.07,0,geom827,1,0.04809301,12.31331855718000,1.0825776483914900,-0.00010497412846347000,0.535333233237306,0.9772074661368300
