list_place,A,B,C,mu_a-ea0,mu_b-ea0,mu_cea0,e,e_tot,zpe,harm_freq,formula,iupac_name,canonical_smi,internal_smi,weight,charge,name,multiplicity,distance,log_column,log_column_unc,mu_a,mu_b,mu_c
1052,49718.47997,5101.69893,4626.92253,-0.0002648,0.1426192,-0.1170868,-153.987446914659,,,[],C4H4,but-1-en-3-yne,C=CC#C,[CH]=CC#C,52.07,0,geom1053,2,0.05197892,12.256419217693200,1.3584337016113500,-0.00067305446046312,0.36250184557281600,-0.29760495846432500
1402,23918.97612,541.63711,540.63605,0.0337775,-1.108451,0.0046643,-379.990110857896,,,[],C6H2O2,"hexa-2,4-diynedial",C(=O)C#CC#CC=O,O=CC#CC#CC=O,106.08,0,geom1403,1,0.07161954,12.059680292599800,1.3585114920686600,0.08585384077905230,-2.817401396355010,0.011855467975597200
1555,3791.72059,1582.72179,1124.40385,-9E-07,0.170599,0.2324071,-347.652353903501,,,[],C9H8,1H-indene,C1C=CC2=CC=CC=C21,C1=Cc2ccccc2C1,116.16,0,geom1557,1,0.086500205,11.982555545329600,1.3585830370695000,-2.28757180671E-06,0.4336194029476880,0.5907199218213690
67,19904.87728,7225.15859,5705.67486,-0.0002306,-0.6124502,-0.8044287,-171.951969982224,,,[],C3H5N,cyclopropanimine,C1CC1=N,N=C1CC1,55.08,0,geom68,1,0.06318395,12.397377960493700,1.3586141050905100,-0.00058612673180814,-1.5566931228154500,-2.0446537940315300
86,3692.40416,1043.13059,813.35265,3.6E-06,1.97E-05,0.3310256,-385.690367694641,,,[],C10H8,2-methylideneindene,C=C1C=C2C=CC=CC2=C1,C=C1C=c2ccccc2=C1,128.17,0,geom87,1,0.066905566,11.859560724762400,1.3586397995835000,9.15028722684E-06,5.007240510243E-05,0.8413831442880690
1395,2901.31988,1173.00874,843.89163,-0.0024151,-0.0002171,-0.1234783,-386.957315563429,,,[],C10H10,"1,4-dihydronaphthalene",C1C=CCC2=CC=CC=C21,C1=CCc2ccccc2C1,130.19,0,geom1396,1,0.06876941,11.886644593424700,1.358825558081400,-0.00613857185598369,-0.0005518131547074900,-0.3138505309116440
1679,7811.69449,7675.24119,4147.71566,-0.3531845,0.179819,-0.1896863,-211.296559584984,,,[],C4H7N,"2,3-dihydro-1H-pyrrole",C1CNC=C1,C1=CNCC1,69.11,0,geom1681,1,0.06313071,12.003849615182200,1.3589083745570900,-0.8977054497410760,0.4570543052342060,-0.48213447999903900
175,3930.28842,1013.63984,909.93462,0.2811414,-0.0003348,0.1319891,-562.1629372888,,,[],C7H10Si,methyl(phenyl)silane,C[SiH2]C1=CC=CC=C1,C[SiH2]c1ccccc1,122.24,0,geom176,1,0.00731686,11.866195775362300,1.3590338165385500,0.7145901559321990,-0.00085097671209612,0.33548282661447400
1722,19050.00378,948.51792,908.66327,0.0001124,1.3243609,-1.9706682,-303.479611342571,,,[],C5H6N2,2-(prop-2-enylideneamino)acetonitrile,C=CC=NCC#N,C=CC=NCC#N,94.11,0,geom1724,1,0.05582318,12.018863923970400,1.3591862074803700,0.00028569230119356,3.3661896186100900,-5.008938905222160
879,7431.87188,3590.43615,2495.39786,-0.0021341,0.0690326,-1.6219113,-269.270914526759,,,[],C5H6O,cyclopent-2-en-1-one,C1CC(=O)C=C1,O=C1C=CCC1,82.1,0,geom880,1,0.050451465,12.104385264420400,1.3592246723171000,-0.005424341102999790,0.17546336611543200,-4.122487292071520
984,3538.38853,3076.57849,1729.88535,-0.0340224,-1.61E-05,0.3022393,-272.646493142782,,,[],C7H10,"1,2-dimethylidenecyclopentane",C=C1CCCC1=C,C=C1CCCC1=C,94.15,0,geom985,1,0.06362291,12.050100716178000,1.3593049016618600,-0.08647631448512260,-4.092211787559E-05,0.7682156683997400
365,26677.02116,2334.98587,2216.50908,-0.4275954,0.1763101,-0.2777564,-211.234299691785,,,[],C4H7N,N-methylprop-2-yn-1-amine,CNCC#C,C#CCNC,69.11,0,geom366,1,0.04818272,12.020130384222900,1.3593249165913400,-1.0868390907987600,0.44813557110913400,-0.7059863441925170
1414,0,11507.32409,11507.32409,0.0,0.0,0.6505779,-168.076191823317,,,[],CNO-,isocyanate,C(=[N-])=O,[N-]=C=O,42.017,-1,geom1415,1,0.074517965,12.470190299451500,1.3593422232519400,0.0,0.0,1.653604069009550
1822,10932.18861,854.53448,828.59616,-0.0871782,0.451018,0.0265592,-310.966311295916,,,[],C6H12O,1-ethoxybut-2-ene,CCOCC=CC,CC=CCOCC,100.16,0,geom1824,1,0.048168182,11.881761543040000,1.3594632220592700,-0.22158488053302900,1.146373401243030,0.06750675236530250
321,91765.48126,2619.18649,2546.50373,-6.6E-06,0.1420256,-0.9911677,-260.81184195727,,,[],C2N2O,carbononitridic isocyanate,C(#N)N=C=O,N#CN=C=O,68.03,0,geom322,1,0.062437907,12.079012454010000,1.3594808829611400,-1.677552658254E-05,0.36099306487896900,-2.5192969847128800
892,7930.94451,2313.12366,1907.52167,-0.3000247,0.3355933,0.9171276,-282.638222080611,,,[],C3H7N3,2-azidopropane,CC(C)N=[N+]=[N-],CC(C)N=[N+]=[N-],85.11,0,geom893,1,0.053212993,11.814248588740200,1.3597720404225700,-0.7625867167073620,0.8529930795564120,2.3311058232395600
1077,10466.65039,8204.8753,4876.54905,0.0,1.1908879,1E-07,-193.097424676736,,,[],C3H6O,propan-2-one,CC(=O)C,CC(C)=O,58.08,0,geom1078,1,0.056664787,12.11394642124840,1.3600704943540400,0.0,3.0269350944356400,2.5417464519E-07
109,8393.75441,4438.20541,3144.94101,0.1109654,0.0,-0.3501895,-425.812054902066,,,[],C2H9NSi,N-methyl-N-silylmethanamine,CN(C)[SiH3],CN(C)[SiH3],75.18,0,geom110,1,0.04160585,11.913163041494800,1.3602380323819800,0.2820459117336640,0.0,-0.890092919117635
1172,561574.9881,42854.74184,39816.29285,-0.5945953,-0.4474294,0.0,-130.431797289303,,,[],HNO,nitroxyl,N=O,N=O,31.014,0,geom1173,1,0.044945933,12.522054454527300,1.3602500308418400,-1.5113104940914200,-1.1372520899257500,0.0
309,8281.34098,3882.36267,2780.60914,3E-07,-0.8420389,0.2386846,-212.517532599771,,,[],C4H9N,N-methylpropan-2-imine,CC(=NC)C,CN=C(C)C,71.12,0,geom310,1,0.060530905,11.854876540525700,1.3604315903189100,7.6252393557E-07,-2.140249386436780,0.6066757351731710
1631,3973.37463,3674.14498,1908.95291,0.0003021,-0.523611,-1.1066333,-343.231982799047,,,[],C5H4O2,2-methylidenefuran-3-one,C=C1C(=O)C=CO1,C=C1OC=CC1=O,96.08,0,geom1633,1,0.046698764,11.954009038323300,1.3605017185408900,0.0007678616031189900,-1.330886401425810,-2.812781263829390
68,2265.35564,1621.86428,1483.23946,-0.154782,1.03E-05,-0.2064327,-347.530223333171,,,[],C9H8,"7-ethynylcyclohepta-1,3,5-triene",C#CC1C=CC=CC=C1,C#CC1C=CC=CC=C1,116.16,0,geom69,1,0.06326287,12.160765938265200,1.3605123600145700,-0.3934165993179860,2.617998845457E-05,-0.5246995827811370
242,8263.70899,1901.9666,1561.01187,6E-07,-0.2347624,-1.9876849,-286.252816243661,,,[],C6H5N,"cyclopenta-1,4-diene-1-carbonitrile",C1C=CC(=C1)C#N,N#CC1=CCC=C1,91.11,0,geom243,1,0.062717535,12.056064233944600,1.3606144747136600,1.52504787114E-06,-0.5967064972395290,-5.0521910420702100
241,66980.05755,11441.7863,9772.42395,0.380854,1.2061348,0.0,-153.124330499122,,,[],C2H4O,ethenol,C=CO,C=C[O],44.05,0,geom242,2,0.0625884,12.587061413887400,1.3606493372817800,0.9680343031919230,3.0656888484131200,0.0
1485,15538.11261,1332.43324,1310.76008,0.0723138,0.483217,-0.0961437,-271.655781545925,,,[],C5H10O,4-methoxybut-1-ene,COCCC=C,C=CCCOC,86.13,0,geom1487,1,0.06563647,11.900512131269500,1.3606632707978200,0.18380334457340600,1.2282150952477600,-0.24437290834753800
1618,8744.93785,8743.33578,4959.71659,0.2660499,0.0001551,0.0001501,-174.423971874894,,,[],C3H9N,"N,N-dimethylmethanamine",CN(C)C,CN(C)C,59.11,0,geom1620,1,0.10337877,12.037910783213400,1.3607652247785000,0.6762313893533500,0.00039422487468969,0.00038151614243019000
1506,8473.38829,1188.05043,1041.95792,5.9E-05,0.1261462,0.0,-629.059872976028,,,[],C6H4S,,C1=CC(=C=S)C=C1,S=C=C1C=CC=C1,108.16,0,geom1508,1,0.070666745,12.781150842224600,1.360787544426840,0.0001499630406621,0.3206316562706680,0.0
1281,3463.25338,1387.01276,1035.58182,-0.1043583,0.1044933,0.0093694,-669.616810294642,,,[],C7H8S,2-prop-1-en-2-ylthiophene,CC(=C)C1=CC=CS1,C=C(C)c1cccs1,124.21,0,geom1282,1,0.08523876,11.851483590356000,1.3608480027368300,-0.26525233875131600,0.26559547452232200,0.02381463920643190
310,8765.77777,2477.59494,1955.23355,0.0006185,-0.3301495,-0.9122314,-301.299566002214,,,[],C3H4N2O,1-diazopropan-2-one,CC(=O)C=[N+]=[N-],CC(=O)C=[N+]=[N-],84.08,0,geom311,1,0.060843278,12.036880403426200,1.3609443089106400,0.00157207018050015,-0.839156320221559,-2.3186609242617700
644,4634.39319,295.26072,278.03928,-0.0032901,-0.0247607,0.4826385,-463.044815430578,,,[],C12H10,"hexa-1,3-dien-5-ynylbenzene",C#CC=CC=CC1=CC=CC=C1,C#CC=CC=Cc1ccccc1,154.21,0,geom645,1,0.07818514,11.831130870511600,1.360945225450890,-0.00836260000139619,-0.06293542137156030,1.2267446949253400
738,26515.06486,1463.33165,1401.88827,0.0436608,0.5215547,0.1446478,-269.166970036732,,,[],C5H6O,,C=COC=C=C,C=C=COC=C,82.1,0,geom739,1,0.050176,11.909238007922000,1.3611568081469300,0.11097468348711600,1.325659808196770,0.3676580324251410
1049,2937.28039,1196.79795,872.3034,0.4927829,0.6296949,-0.5397782,-440.09903333290900,,,[],C8H9NO,"3,4-dihydro-2H-1,3-benzoxazine",C1C2=CC=CC=C2OCN1,c1ccc2c(c1)CNCO2,135.16,0,geom1050,1,0.05029928,11.778220094666300,1.3612809596735500,1.2525291876319900,1.600524777854530,-1.3719793246629700
1537,283493.48572,38883.81965,34193.81412,-3.22E-05,-1.1E-06,1.0188292,-114.467008930188,,,[],CH2O,formaldehyde,C=O,C=O,30.026,0,geom1539,1,0.061267253,12.476906794937000,1.3613169286336500,-8.184423575118E-05,-2.79592109709E-06,2.5896055041921200
1474,18747.21704,1374.83162,1339.00459,-0.2969465,0.1969203,-0.4067903,-269.175713572596,,,[],C5H6O,pent-2-en-4-yn-1-ol,C#CC=CCO,C#CC=CCO,82.1,0,geom1476,1,0.061697606,12.038785185304900,1.3613964416463600,-0.7547627127791230,0.5005214738320840,-1.0339578016923400
512,7654.49676,3130.2739,2318.5741,0.0047068,-0.383819,0.7373286,-270.459252074537,,,[],C5H8O,"3-methyl-2,5-dihydrofuran",CC1=CCOC1,CC1=CCOC1,84.12,0,geom513,1,0.057768047,11.935911230116800,1.361636392302530,0.011963492199802900,-0.9755705814218060,1.8741023529343900
1105,5908.89789,2282.853,1699.01189,-0.0006187,-0.2804829,0.8530135,-593.448372274061,,,[],C5H8S,"3-methyl-2,5-dihydrothiophene",CC1=CCSC1,CC1=CCSC1,100.18,0,geom1106,1,0.042291198,12.165411673021300,1.361649551118770,-0.00157257852979053,-0.7129164158936220,2.1681440370478000
280,42919.58961,2462.40354,2328.79479,-1.6E-06,-0.6895726,-0.0004848,-283.142733510705,,,[],C2H3NO2,N-formylformamide,C(=O)NC=O,O=CNC=O,73.05,0,geom281,1,0.048208393,11.915191837124200,1.3619428692536100,-4.06679432304E-06,-1.7527187093774600,-0.00123223867988112
1447,15151.24205,1285.65852,1231.68469,-0.2653248,-0.340893,0.3730307,-500.332790088094,,,[],C4H11P,butylphosphane,CCCCP,CCCCP,90.1,0,geom1449,1,0.03526103,12.152654603425000,1.3620054183890800,-0.6743883690010770,-0.8664635732275470,0.9481494581747730
619,6874.4709,1070.18738,988.24906,0.2416265,0.4444348,0.4329306,-308.486625340676,,,[],C6H8O,hex-5-en-3-yn-1-ol,C=CC#CCCO,C=CC#CCCO,96.13,0,geom620,1,0.07198756,11.969587329438400,1.362147180810900,0.6141532990600150,1.129640576000890,1.1003998164689400
1514,5731.39224,5157.9212,2760.70735,-3.02E-05,9.8E-06,0.3977791,-269.235154421556,,,[],C5H6O,4H-pyran,C1C=COC=C1,C1=COC=CC1,82.1,0,geom1516,1,0.07187649,11.952023822226400,1.36220482492486,-7.676074284738E-05,2.490911522862E-05,1.0110536160649800
169,19419.8592,2617.90331,2498.12559,-0.0785314,0.7194098,-1.4457287,-210.073576681566,,,[],C4H5N,but-3-enenitrile,C=CCC#N,C=CCC#N,67.09,0,geom170,1,0.06319189,12.062497815145000,1.3622421922138400,-0.19960690731274000,1.8285573066120900,-3.6746757936350000
1023,15048.2841,1713.88164,1568.79137,2.85E-05,-0.0086048,1.5826985,-570.187179991414,,,[],C3H5NS,isothiocyanatoethane,CCN=C=S,CCN=C=S,87.15,0,geom1024,1,0.042527422,11.844153639858300,1.362293697625550,7.243977387915E-05,-0.02187121986930910,4.022818296802450
356,37796.09803,9288.58564,8158.33611,0.989132,-0.6043054,0.0006782,-151.157675821617,,,[],CH6N2,methanediamine,C(N)N,NCN,46.072,0,geom357,1,0.043472666,12.085155507762100,1.3630543085902000,2.514122751460750,-1.5359911063140100,0.00172381244367858
1215,10387.76217,3333.3374,2905.3884,0.3315908,1.2595976,-0.9698273,-248.448950517493,,,[],C3H7NO,N-ethylformamide,CCNC=O,CCNC=O,73.09,0,geom1216,1,0.05378995,11.864120832366900,1.363132159756430,0.8428197393826830,3.2015777306217600,-2.4650550987307600
918,12377.03941,1081.81401,1013.78133,0.0002116,-0.5495896,0.4843284,-594.642332606305,,,[],C5H10S,1-ethenylsulfanylpropane,CCCSC=C,C=CSCCC,102.2,0,geom919,1,0.059450965,12.210654481346200,1.3632236597078000,0.00053783354922204,-1.3969174158011400,1.231039992254400
3,6908.92802,5320.77071,3839.39907,0.0005268,-0.0018397,-0.1237571,-195.19335435802,,,[],C5H8,"3,3-dimethylcyclopropene",CC1(C=C1)C,CC1(C)C=C1,68.12,0,geom4,1,0.03729222,12.09771868202190,1.363239844780260,0.00133899203086092,-0.0046760509475604300,-0.3145591698224340
1210,9525.48478,1051.81512,955.43298,-0.1973991,0.7845055,1.4475764,-343.177823445406,,,[],C5H4O2,pent-2-ynedial,C(C=O)C#CC=O,O=CC#CCC=O,96.08,0,geom1211,1,0.04766324,12.065776602602600,1.3632770982367800,-0.5017384620332530,1.9940140711210400,3.679372178554180
1478,2935.44454,1213.98975,991.21925,-0.2144698,0.5646779,0.0140899,-400.71578681689,,,[],,,,C#CCC1=CCN=C1O,,0,geom1480,1,0.06323927,11.821802904188200,1.3635213777845500,-0.5451278531897030,1.435268048791340,0.03581295333262580
1918,30950.75429,8526.96087,7411.61962,0.5122948,-0.1068986,1.2038421,-155.299988079382,,,[],C2H7O+,ethyloxidanium,CC[OH2+],CC[OH2+],47.08,1,geom1920,1,0.05889673,12.572738938941500,1.3635537379918800,1.3021234902268200,-0.2717091372630770,3.0598613863228400
223,7553.2024,2064.18938,1654.13687,-0.0008356,-0.080283,1.6954356,-592.227601733268,,,[],C5H6S,cyclopent-2-ene-1-thione,C1CC(=S)C=C1,S=C1C=CCC1,98.17,0,geom224,1,0.060233027,12.88214787026010,1.3636446069554000,-0.00212388333520764,-0.20405903039788800,4.309367420724950
316,16132.12474,882.16883,845.84197,-0.0255824,0.5128464,0.8185193,-308.466125375873,,,[],C6H8O,,CCOC=C=C=C,C=C=C=COCC,96.13,0,geom317,1,0.06201883,11.819035660256100,1.3636874557672200,-0.06502397443108660,1.3035255175696900,2.0804685265866700
1148,23834.68202,624.27726,608.34355,-8.21E-05,0.0003884,-4.01E-05,-340.359128389269,,,[],C6H4N2,"hexa-2,4-dienedinitrile",C(=CC#N)C=CC#N,N#CC=CC=CC#N,104.11,0,geom1149,1,0.051236548,11.845907116409900,1.3637906965259200,-0.00020867738370099,0.0009872143219179600,-0.00010192403272119
1815,3604.54593,2031.30832,1320.49536,0.0005496,6E-06,0.5270922,-631.551212098759,,,[],C6H8S,"3,4-dimethylthiophene",CC1=CSC=C1C,Cc1cscc1C,112.19,0,geom1817,1,0.029981628,12.194097144154300,1.3639089040448400,0.00139694384996424,1.52504787114E-05,1.3397347291741700
1838,9225.39153,3303.35367,2730.13735,0.2659386,0.4212395,0.575988,-232.364073605617,,,[],C4H8O,but-3-en-1-ol,C=CCCO,C=CCCO,72.11,0,geom1840,1,0.06209118,11.978029915862100,1.3639205476948000,0.6759484929732530,1.07068400452513,1.4640154553369800
82,8877.54662,873.22469,841.16853,-0.3549486,-0.3320185,0.046733,-310.961379189337,,,[],C6H12O,1-methoxypent-2-ene,CCC=CCOC,CCC=CCOC,100.16,0,geom83,1,0.06653806,11.881341533719500,1.363946161407180,-0.9021893446568720,-0.8439068443401600,0.11878343693664300
1367,9976.8927,4301.232,3005.50185,2.22E-05,-0.4744,-1.5889974,-226.109663729488,,,[],C3H4N2,2-aminoprop-2-enenitrile,C=C(C#N)N,C=C(N)C#N,68.08,0,geom1368,1,0.050835393,11.821100666106,1.364120356340850,5.642677123218E-05,-1.20580451678136,-4.038828503528330
932,6474.12377,2881.17919,1993.85426,-2.96E-05,-1.3832114,1.73E-05,-266.695583888709,,,[],C5H2O,"penta-1,4-diyn-3-one",C#CC(=O)C#C,C#CC(=O)C#C,78.07,0,geom933,1,0.041202877,12.211352021686700,1.3642116455209900,-7.523569497624E-05,-3.5157726681776300,4.397221361787E-05
1858,71793.86537,2106.02743,2101.84841,0.2891582,-0.0013949,-0.4982977,-458.546151961655,,,[],C3H5P,prop-1-ynylphosphane,CC#CP,CC#CP,72.05,0,geom1860,1,0.067511775,12.708680622470200,1.3643734746742000,0.7349668288877910,-0.00354548212575531,-1.2665464109649300
16,1729.21475,490.49914,464.67626,0.5117573,-1.6471345,0.4906109,-555.604497637691,,,[],C11H11NO,1-benzyl-2H-pyrrol-5-one,C1C=CC(=O)N1CC2=CC=CC=C2,O=C1C=CCN1Cc1ccccc1,173.21,0,geom17,1,0.04297528,11.721919900484200,1.364446139416560,1.3007573015089200,-4.18659827117708,1.2470085143384700
1814,11659.45484,1069.50268,1016.08887,-0.0533731,0.6362268,-0.0897587,-594.646908059772,,,[],C5H10S,1-ethylsulfanylprop-1-ene,CCSC=CC,CC=CSCC,102.2,0,geom1816,1,0.065871626,12.148782042237700,1.3644571186299100,-0.1356608875519040,1.6171272115036900,-0.22814385725215700
1435,285012.66464,10240.76591,9885.56839,-1.37E-05,-1.4273156,0.0,-132.04609056466,,,[],C2H3N,,C=C=N,C=C=[N],41.05,0,geom1436,2,0.07797319,12.12120576705470,1.3645625512288400,-3.482192639103E-05,-3.6278743620415200,0.0
656,8602.50278,4394.28079,2961.54195,-0.0001124,0.3418714,-1.1849789,-231.162635191543,,,[],C4H6O,2-methylprop-2-enal,CC(=C)C=O,C=C(C)C=O,70.09,0,geom657,1,0.07998818,11.898677475463900,1.3645669212823500,-0.00028569230119356,0.8689504179560860,-3.0119159146513600
188,18127.15988,2281.99321,2209.34815,-0.5299258,0.2982689,0.1613033,-212.517353420384,,,[],C4H9N,N-ethylethanimine,CCN=CC,CC=NCC,71.12,0,geom189,1,0.04482157,12.27559696513180,1.3645958219383400,-1.346937021920270,0.7581239182871160,0.40999209045476100
1486,4123.98186,1792.12302,1269.03019,-0.0002278,0.3679874,-0.1055455,-631.550119551554,,,[],C6H8S,"2,4-dimethylthiophene",CC1=CC(=CS1)C,Cc1csc(C)c1,112.19,0,geom1488,1,0.06572343,12.115411127605400,1.3647151817734300,-0.00057900984174282,0.9353306682939060,-0.2682699001390110
42,31782.87139,2279.12791,2126.62882,1.11E-05,0.0203329,-0.0001689,-194.606741098117,,,[],C5H8,"penta-1,4-diene",C=CCC=C,C=C[CH]C=C,68.12,0,geom43,2,0.056398086,11.853880222387600,1.3647292522475500,2.821338561609E-05,0.05168107643183750,-0.00042930097572591000
1151,84830.15154,1497.61613,1497.61581,-2.27E-05,3.57E-05,-1.070736,-782.288152805714,,,[],CH3NSSi,isothiocyanatosilane,C(=N[SiH3])=S,[SiH3]N=C=S,89.19,0,geom1152,1,0.05176971,12.12136337640980,1.3649452369879800,-5.769764445813E-05,9.074034833283E-05,-2.721539428921600
1269,2886.60505,1501.52867,993.81304,1.77E-05,-0.4349742,1.7017993,-363.691630942126,,,[],C8H7N,2-methylbenzonitrile,CC1=CC=CC=C1C#N,Cc1ccccc1C#N,117.15,0,geom1270,1,0.08007832,11.888583245314100,1.3649476192580900,4.498891219863E-05,-1.105594129518040,4.325542332620900
1219,22723.24334,994.76181,958.74963,-0.0005958,-0.5707181,1.1485681,-606.984072351507,,,[],C4H3NS,3-isothiocyanatoprop-1-yne,C#CCN=C=S,C#CCN=C=S,97.14,0,geom1220,1,0.055106025,11.866757944927500,1.3649493144547700,-0.0015143725360420200,-1.4506207057101100,2.9193688929405200
84,19534.77491,6862.84962,5447.67559,0.0005963,3.8E-06,-0.183411,-155.912842649366,,,[],C4H6,methylidenecyclopropane,C=C1CC1,C=C1CC1,54.09,0,geom85,1,0.066834725,12.231947988634500,1.3650571898601200,0.00151564340926797,9.65863651722E-06,-0.46618425848943100
994,3674.31374,951.21269,762.78577,0.0040837,-0.4914038,0.4801397,-400.729054131926,,,[],,,,CC#CC1=CCN=C1O,,0,geom995,1,0.0660644,11.795437312283100,1.3650989349606200,0.01037972998562400,-1.2490238651001800,1.2203933788913300
1540,11311.47161,1907.79536,1730.99564,0.0226202,-0.4231972,-0.1880267,-317.30437814334,,,[],C2H3N3O,2-azidoacetaldehyde,C(C=O)N=[N+]=[N-],[N-]=[N+]=NCC=O,85.07,0,geom1542,1,0.07467535,12.424750502286600,1.365127288824950,0.05749481309126840,-1.0756599815540100,-0.4779161975874660
520,8263.04964,1057.94875,1008.08444,0.2156882,-0.5675553,0.2881905,-594.646300387172,,,[],C5H10S,1-methylsulfanylbut-1-ene,CCC=CSC,CCC=CSC,102.2,0,geom521,1,0.06086527,12.143875948392000,1.3651385943938700,0.5482247170666980,-1.44258167003204,0.732507180846287
1651,3401.63279,1082.48459,829.70686,-0.0003502,-0.0001007,-0.7391835,-707.749158101131,,,[],C8H8S,"1,3-dihydro-2-benzothiophene",C1C2=CC=CC=C2CS1,c1ccc2c(c1)CSC2,136.22,0,geom1653,1,0.055710945,12.033413896306800,1.3653023299370800,-0.00089011960745538,-0.00025595386770633000,-1.8788170384280200
854,29177.57524,2429.88921,2307.64923,-0.0017911,-0.4903399,-2.3701419,-263.825202015853,,,[],C2H5N2O-,ethyl(oxido)diazene,CCN=N[O-],CCN=N[O-],73.07,-1,geom855,1,0.060302142,12.07611785648640,1.3653292353815100,-0.00455252206999809,-1.2463197010500000,-6.024299764824530
712,6639.64255,1881.44587,1580.00699,-0.0848027,-0.0947732,-0.3636846,-271.381679939025,,,[],C7H8,3-ethynylcyclopentene,C#CC1CCC=C1,C#CC1C=CCC1,92.14,0,geom713,1,0.042814173,12.128573732354000,1.3653299147371200,-0.21554696183654000,-0.24088944483520900,-0.9243940416606710
586,26213.64247,3915.70869,3668.42602,0.4024942,0.1473104,0.0147153,-174.430429139947,,,[],C3H9N,N-methylethanamine,CCNC,CCNC,59.11,0,geom587,1,0.08965575,11.94519367297570,1.3653983213343100,1.023038204760330,0.37442568652797000,0.03740256156364410
407,1761.29684,380.19987,366.65825,0.2384923,-0.1155958,0.0260174,-878.55990483045,,,[],C11H11NS,4-methyl-N-phenylthiophen-3-amine,CC1=CSC=C1NC2=CC=CC=C2,Cc1cscc1Nc1ccccc1,189.28,0,geom408,1,0.033685688,11.81314553615010,1.3654478005155800,0.6061869573304700,-0.293815214504542,0.06612963413766310
318,37966.329,3993.16925,3695.72147,0.0001758,0.0048597,-0.2233177,-156.527733516542,,,[],C4H8,but-1-ene,CCC=C,C=C[CH]C,56.11,0,geom319,2,0.062387135,12.001865344746500,1.3656618671373000,0.00044683902624402000,0.012352125232298400,-0.5676169716214690
1205,3130.06614,1234.67767,885.41801,4.96E-05,-8.37E-05,-0.0001663,-385.765708418289,,,[],C10H8,naphthalene,C1=CC=C2C=CC=CC2=C1,c1ccc2ccccc2c1,128.17,0,geom1206,1,0.05473128,11.8478414771661,1.3658860483491200,0.00012607062401424000,-0.00021274417802403,-0.00042269243495097
1867,29331.54536,2800.61334,2556.51411,-4E-07,-0.9110988,1.1492956,-244.754630424361,,,[],C3HNO,,C(=C=O)C#N,N#CC=C=O,67.05,0,geom1869,1,0.06882221,12.097134452856400,1.3659640542475700,-1.01669858076E-06,-2.3157821422303500,2.921218013484280
563,50466.70621,4730.40974,4325.01218,-0.008714,-0.1718377,0.0,-154.677896730135,,,[],C4H4,but-1-en-3-yne,C=CC#C,C#CC=C,52.07,0,geom564,1,0.08475953,12.47628596089420,1.366001205640380,-0.0221487785818566,-0.4367678642776570,0.0
1191,9054.30332,3707.07213,2638.13598,0.488709,0.2567209,0.3484785,-285.292141630786,,,[],C4H5NO,furan-2-amine,C1=COC(=C1)N,Nc1ccco1,83.09,0,geom1192,1,0.052566122,11.91643718118680,1.3661856786138500,1.242174366761600,0.6525194367035750,0.8857439909384340
329,12392.2287,7432.47139,4789.1423,-0.0003846,0.1527006,-0.5994382,-514.803309048878,,,[],C3H4S,2H-thiete,C1C=CS1,C1=CSC1,72.13,0,geom330,1,0.06358983,12.46833169434180,1.366364148025900,-0.00097755568540074,0.3881262082530010,-1.5236199179833200
1033,19100.04775,1288.57892,1266.74775,-0.0098027,0.0143884,0.8524371,-306.350206750106,,,[],C4H6O2,4-hydroxybut-2-enal,C(C=CC=O)O,O=CC=CCO,86.09,0,geom1034,1,0.04573952,11.90063156766660,1.3663703312150700,-0.024915977944040100,0.03657166464851800,2.166678974392930
1201,130931.43421,5082.94176,5057.53797,-0.3096186,0.0813726,0.0,-419.231294791958,,,[],C2H3P,ethynylphosphane,C#CP,C#CP,58.02,0,geom1202,1,0.054482885,12.915397628487900,1.3665113899618100,-0.7869719779922450,0.20682851733187800,0.0
430,2585.07482,857.0092,651.07116,0.0610121,-0.5445976,0.1621429,-779.112329860598,,,[],C7H8N2S,"2,3-dihydro-1,3-benzothiazol-6-amine",C1NC2=C(S1)C=C(C=C2)N,Nc1ccc2c(c1)SCN2,152.22,0,geom431,1,0.04264876,11.85297127366260,1.3666005529282200,0.155077288697968,-1.3842290175132600,0.41212614077577700
1438,14045.5233,12785.69156,7316.32812,0.0001025,-0.3431445,-0.9692433,-171.966703874669,,,[],C3H5N,"2,3-dihydroazete",C1CN=C1,C1=NCC1,55.08,0,geom1439,1,0.07827468,12.527739876831900,1.36661104223424,0.00026052901131975,-0.8721863153640000,-2.4635707188028500
1597,2964.23613,2647.28348,1562.3503,0.0999291,-1.1397551,-0.6026695,-309.372241732397,,,[],C8H8,"cycloocta-1,5-dien-3-yne",C1CC=CC#CC=C1,C1#CC=CCCC=C1,104.15,0,geom1599,1,0.09931956,12.141608680015200,1.3667356051175100,0.2539944353665600,-2.8969684814599300,-1.531833063293350
1228,19318.64344,2559.53385,2434.06311,-0.0382939,0.1289948,-0.1837814,-193.977531971817,,,[],C5H6,pent-1-en-4-yne,C=CCC#C,C#CCC=C,66.1,0,geom1229,1,0.05893998,12.344818611493900,1.3667504052187500,-0.0973333844544134,0.3278720752135500,-0.4671257213752150
1462,272575.3486,28229.64263,27080.32169,0.65629,1.1266277,0.0,-131.049260134903,,,[],H2NO-,,N[O-],N[O-],32.022,-1,geom1464,1,0.05744553,12.45860999272860,1.3668541230958400,1.668122778917450,2.8636019590872600,0.0
