SMILES,SELFIES,COLUMN DENSITY,STD,anchor,distance,gpr_column,uncertainty
[SiH2]c1ccccc1,[SiH2][C][=C][C][=C][C][=C][Ring1][=Branch1],11.844762921215748,1.4136771285498229,CC#CC#C,0.054829475,[11.84476292],[1.41367713]
C=S,[C][=S],13.195596550425808,1.0390538153163675,CC#CC#C,0.055073053,[13.19559655],[1.03905382]
C#CC#CCC#C,[C][#C][C][#C][C][C][#C],12.2775065797291,1.205265651285983,CC#CC#C,0.05511227,[12.27750658],[1.20526565]
[SiH4],[SiH4],12.879459861071384,1.3247350196292833,CC#CC#C,0.055168826,[12.87945986],[1.32473502]
Cc1ccc2cccc-2cc1,[C][C][=C][C][=C][C][=C][C][=C][Ring1][Branch1][C][=C][Ring1][#Branch2],12.02890264995966,1.4521859859541706,CC#CC#C,0.05545607,[12.02890265],[1.45218599]
N#CC1=CCCC1=O,[N][#C][C][=C][C][C][C][Ring1][Branch1][=O],11.861061487465896,1.4282980431156018,CC#CC#C,0.055607565,[11.86106149],[1.42829804]
CC[NH3+],[C][C][NH3+1],12.22813784634142,1.3458036761922871,CC#CC#C,0.05645925,[12.22813785],[1.34580368]
CCC#CC#CCC#N,[C][C][C][#C][C][#C][C][C][#N],12.126455987940364,1.4281986528070891,CC#CC#C,0.05672189,[12.12645599],[1.42819865]
[CH]1C=CC=C1,[CH1][C][=C][C][=C][Ring1][Branch1],12.090093635278366,1.4006532977870645,CC#CC#C,0.057017818,[12.09009364],[1.4006533]
C1=CCOCC=C1,[C][=C][C][O][C][C][=C][Ring1][#Branch1],11.900512131269462,1.417776483955431,CC#CC#C,0.057156872,[11.90051213],[1.41777648]
O/N=C\CCC/C=N\O,[O][/N][=C][\C][C][C][/C][=N][\O],11.868439363998569,1.4363864424423467,CC#CC#C,0.05739267,[11.86843936],[1.43638644]
C#CCCC#CN,[C][#C][C][C][C][#C][N],12.110494477113209,1.383318097822813,CC#CC#C,0.057731673,[12.11049448],[1.3833181]
O=CNCCO,[O][=C][N][C][C][O],11.832151571013206,1.4215516654151514,CC#CC#C,0.058041386,[11.83215157],[1.42155167]
C[C]=O,[C][CH0][=O],12.414416638058114,1.3485899915489405,CC#CC#C,0.058097444,[12.41441664],[1.34858999]
